year,city,country,avg_temp
1940,Rabat,Morocco,17.82
1941,Rabat,Morocco,17.44
1942,Rabat,Morocco,17.51
1943,Rabat,Morocco,17.60
1944,Rabat,Morocco,17.29
1945,Rabat,Morocco,18.20
1946,Rabat,Morocco,17.23
1947,Rabat,Morocco,17.86
1948,Rabat,Morocco,17.92
1949,Rabat,Morocco,18.08
1950,Rabat,Morocco,17.87
1951,Rabat,Morocco,17.28
1952,Rabat,Morocco,17.45
1953,Rabat,Morocco,17.86
1954,Rabat,Morocco,17.18
1955,Rabat,Morocco,18.64
1956,Rabat,Morocco,16.59
1957,Rabat,Morocco,17.24
1958,Rabat,Morocco,17.62
1959,Rabat,Morocco,17.39
1960,Rabat,Morocco,17.49
1961,Rabat,Morocco,18.32
1962,Rabat,Morocco,17.78
1963,Rabat,Morocco,17.54
1964,Rabat,Morocco,17.70
1965,Rabat,Morocco,17.36
1966,Rabat,Morocco,17.40
1967,Rabat,Morocco,17.17
1968,Rabat,Morocco,17.55
1969,Rabat,Morocco,17.32
1970,Rabat,Morocco,17.60
1971,Rabat,Morocco,16.73
1972,Rabat,Morocco,16.38
1973,Rabat,Morocco,17.19
1974,Rabat,Morocco,16.98
1975,Rabat,Morocco,17.02
1976,Rabat,Morocco,16.95
1977,Rabat,Morocco,17.23
1978,Rabat,Morocco,17.63
1979,Rabat,Morocco,17.47
1980,Rabat,Morocco,17.66
1981,Rabat,Morocco,17.92
1982,Rabat,Morocco,17.44
1983,Rabat,Morocco,17.93
1984,Rabat,Morocco,17.25
1985,Rabat,Morocco,18.02
1986,Rabat,Morocco,17.43
1987,Rabat,Morocco,18.21
1988,Rabat,Morocco,17.87
1989,Rabat,Morocco,18.44
1990,Rabat,Morocco,18.29
1991,Rabat,Morocco,17.47
1992,Rabat,Morocco,17.56
1993,Rabat,Morocco,17.11
1994,Rabat,Morocco,17.98
1995,Rabat,Morocco,18.72
1996,Rabat,Morocco,17.97
1997,Rabat,Morocco,18.65
1998,Rabat,Morocco,18.24
1999,Rabat,Morocco,17.88
2000,Rabat,Morocco,18.14
2001,Rabat,Morocco,18.56
2002,Rabat,Morocco,18.19
2003,Rabat,Morocco,18.41
2004,Rabat,Morocco,18.21
2005,Rabat,Morocco,18.15
2006,Rabat,Morocco,18.51
2007,Rabat,Morocco,17.99
2008,Rabat,Morocco,17.96
2009,Rabat,Morocco,18.73
2010,Rabat,Morocco,18.87
2011,Rabat,Morocco,18.59
2012,Rabat,Morocco,18.20
2013,Rabat,Morocco,18.62
