year,city,country,avg_temp
1989,Paris,France,11.77
1990,Paris,France,11.96
1991,Paris,France,10.60
1992,Paris,France,11.15
1993,Paris,France,10.70
1994,Paris,France,11.96
1995,Paris,France,11.69
1996,Paris,France,10.14
1997,Paris,France,11.59
1998,Paris,France,11.25
1999,Paris,France,11.83
2000,Paris,France,11.74
2001,Paris,France,11.37
2002,Paris,France,11.87
2003,Paris,France,11.91
2004,Paris,France,11.34
2005,Paris,France,11.55
2006,Paris,France,11.79
2007,Paris,France,11.75
2008,Paris,France,11.28
2009,Paris,France,11.46
2010,Paris,France,10.41
2011,Paris,France,12.33
2012,Paris,France,11.22
2013,Paris,France,11.01
